src;num_pages;page_id;page_width;page_height;id;col;row;width;height;x1;y1;x2;y2;x3;y3;x4;y4;contents;contents_masked;correctclass;tag;description
bdmobilier182.tiff;1;1;2480;3508;28611;2029;37;50;48;2029;37;2079;37;2079;85;2029;85;LE;AA;SN;SUPPLIER_NAME;Seller/Company) name
bdmobilier182.tiff;1;1;2480;3508;28612;2091;37;280;48;2091;37;2371;37;2371;85;2091;85;FROMAGERIE;AAAAAAAAAA;SN;SUPPLIER_NAME;Seller/Company) name
bdmobilier182.tiff;1;1;2480;3508;28613;2029;86;46;48;2029;86;2075;86;2075;134;2029;134;30;NN;IDATE;INVOICE_DATE;Invoice Date
bdmobilier182.tiff;1;1;2480;3508;28614;2087;86;41;48;2087;86;2128;86;2128;134;2087;134;jul;AAA;IDATE;INVOICE_DATE;Invoice Date
bdmobilier182.tiff;1;1;2480;3508;28615;2140;86;92;48;2140;86;2232;86;2232;134;2140;134;1980;NNNN;IDATE;INVOICE_DATE;Invoice Date
bdmobilier182.tiff;1;1;2480;3508;28616;2029;134;141;48;2029;134;2170;134;2170;182;2029;182;Facture;AAAAAAA;undefined;OTHER;OTHER
bdmobilier182.tiff;1;1;2480;3508;28617;2182;134;39;48;2182;134;2221;134;2221;182;2182;182;n°;AS;undefined;OTHER;OTHER
bdmobilier182.tiff;1;1;2480;3508;28583;529;504;147;44;529;504;676;504;676;548;529;548;Adresse;AAAAAAA;undefined;OTHER;OTHER
bdmobilier182.tiff;1;1;2480;3508;28584;687;504;43;44;687;504;730;504;730;548;687;548;de;AA;undefined;OTHER;OTHER
bdmobilier182.tiff;1;1;2480;3508;28585;741;504;204;44;741;504;945;504;945;548;741;548;Facturation;AAAAAAAAAAA;undefined;OTHER;OTHER
bdmobilier182.tiff;1;1;2480;3508;28597;1437;504;147;44;1437;504;1584;504;1584;548;1437;548;Adresse;AAAAAAA;undefined;OTHER;OTHER
bdmobilier182.tiff;1;1;2480;3508;28598;1595;504;43;44;1595;504;1638;504;1638;548;1595;548;de;AA;undefined;OTHER;OTHER
bdmobilier182.tiff;1;1;2480;3508;28599;1650;504;166;44;1650;504;1816;504;1816;548;1650;548;Livraison;AAAAAAAAA;undefined;OTHER;OTHER
bdmobilier182.tiff;1;1;2480;3508;28586;529;549;83;43;529;549;612;549;612;592;529;592;Mme;AAA;BN;BILLING_NAME;Billing Name
bdmobilier182.tiff;1;1;2480;3508;28587;622;549;81;43;622;549;703;549;703;592;622;592;Mael;AAAA;BN;BILLING_NAME;Billing Name
bdmobilier182.tiff;1;1;2480;3508;28588;714;549;122;43;714;549;836;549;836;592;714;592;Renard;AAAAAA;BN;BILLING_NAME;Billing Name
bdmobilier182.tiff;1;1;2480;3508;28600;1437;549;83;43;1437;549;1520;549;1520;592;1437;592;Mme;AAA;SHN;SHIPPING_NAME;Shipping Name
bdmobilier182.tiff;1;1;2480;3508;28601;1531;549;81;43;1531;549;1612;549;1612;592;1531;592;Mael;AAAA;SHN;SHIPPING_NAME;Shipping Name
bdmobilier182.tiff;1;1;2480;3508;28602;1622;549;122;43;1622;549;1744;549;1744;592;1622;592;Renard;AAAAAA;SHN;SHIPPING_NAME;Shipping Name
bdmobilier182.tiff;1;1;2480;3508;28589;529;592;93;43;529;592;622;592;622;635;529;635;5013,;NNNNS;BA;BILLING_ADDRESS;Billing Address
bdmobilier182.tiff;1;1;2480;3508;28590;633;592;95;43;633;592;728;592;728;635;633;635;guern;AAAAA;BA;BILLING_ADDRESS;Billing Address
bdmobilier182.tiff;1;1;2480;3508;28591;739;592;79;43;739;592;818;592;818;635;739;635;ihuel;AAAAA;BA;BILLING_ADDRESS;Billing Address
bdmobilier182.tiff;1;1;2480;3508;28603;1437;592;93;43;1437;592;1530;592;1530;635;1437;635;5013,;NNNNS;SHA;SHIPPING_ADDRESS;Shipping Address
bdmobilier182.tiff;1;1;2480;3508;28604;1541;592;95;43;1541;592;1636;592;1636;635;1541;635;guern;AAAAA;SHA;SHIPPING_ADDRESS;Shipping Address
bdmobilier182.tiff;1;1;2480;3508;28605;1648;592;79;43;1648;592;1727;592;1727;635;1648;635;ihuel;AAAAA;SHA;SHIPPING_ADDRESS;Shipping Address
bdmobilier182.tiff;1;1;2480;3508;28592;529;635;104;43;529;635;633;635;633;678;529;678;56160;NNNNN;BA;BILLING_ADDRESS;Billing Address
bdmobilier182.tiff;1;1;2480;3508;28593;643;635;100;43;643;635;743;635;743;678;643;678;Lignol;AAAAAA;BA;BILLING_ADDRESS;Billing Address
bdmobilier182.tiff;1;1;2480;3508;28606;1437;635;104;43;1437;635;1541;635;1541;678;1437;678;56160;NNNNN;SHA;SHIPPING_ADDRESS;Shipping Address
bdmobilier182.tiff;1;1;2480;3508;28607;1552;635;100;43;1552;635;1652;635;1652;678;1552;678;Lignol;AAAAAA;SHA;SHIPPING_ADDRESS;Shipping Address
bdmobilier182.tiff;1;1;2480;3508;28594;529;679;116;43;529;679;645;679;645;722;529;722;France;AAAAAA;BA;BILLING_ADDRESS;Billing Address
bdmobilier182.tiff;1;1;2480;3508;28608;1437;679;116;43;1437;679;1553;679;1553;722;1437;722;France;AAAAAA;SHA;SHIPPING_ADDRESS;Shipping Address
bdmobilier182.tiff;1;1;2480;3508;28595;529;722;208;43;529;722;737;722;737;765;529;765;0629041231;NNNNNNNNNN;undefined;OTHER;OTHER
bdmobilier182.tiff;1;1;2480;3508;28609;1437;722;208;43;1437;722;1645;722;1645;765;1437;765;0652005398;NNNNNNNNNN;undefined;OTHER;OTHER
bdmobilier182.tiff;1;1;2480;3508;28596;529;766;208;43;529;766;737;766;737;809;529;809;0651072041;NNNNNNNNNN;undefined;OTHER;OTHER
