src;num_pages;page_id;page_width;page_height;id;col;row;width;height;x1;y1;x2;y2;x3;y3;x4;y4;contents;contents_masked;correctclass;tag;description
cdiscount24.tiff;1;1;2480;3508;50108;1584;137;179;44;1584;137;1763;137;1763;181;1584;181;FACTURE;AAAAAAA;undefined;OTHER;OTHER
cdiscount24.tiff;1;1;2480;3508;50109;1774;137;49;44;1774;137;1823;137;1823;181;1774;181;No;AA;undefined;OTHER;OTHER
cdiscount24.tiff;1;1;2480;3508;50110;1834;137;158;44;1834;137;1992;137;1992;181;1834;181;INV-7062;AAASNNNN;IN;INVOICE_NUMBER;Invoice Number
cdiscount24.tiff;1;1;2480;3508;50083;141;201;122;43;141;201;263;201;263;244;141;244;CAFFE;AAAAA;SN;SUPPLIER_NAME;Seller/Company) name
cdiscount24.tiff;1;1;2480;3508;50084;275;201;25;43;275;201;300;201;300;244;275;244;E;A;SN;SUPPLIER_NAME;Seller/Company) name
cdiscount24.tiff;1;1;2480;3508;50085;310;201;143;43;310;201;453;201;453;244;310;244;CUCINA;AAAAAA;SN;SUPPLIER_NAME;Seller/Company) name
cdiscount24.tiff;1;1;2480;3508;50111;1651;204;45;44;1651;204;1696;204;1696;248;1651;248;du;AA;undefined;OTHER;OTHER
cdiscount24.tiff;1;1;2480;3508;50112;1707;204;145;44;1707;204;1852;204;1852;248;1707;248;25/11/96;NNSNNSNN;IDATE;INVOICE_DATE;Invoice Date
cdiscount24.tiff;1;1;2480;3508;50086;141;257;116;43;141;257;257;257;257;300;141;300;Capital;AAAAAAA;undefined;OTHER;OTHER
cdiscount24.tiff;1;1;2480;3508;50087;268;257;41;43;268;257;309;257;309;300;268;300;de;AA;undefined;OTHER;OTHER
cdiscount24.tiff;1;1;2480;3508;50088;320;257;145;43;320;257;465;257;465;300;320;300;2104693;NNNNNNN;undefined;OTHER;OTHER
cdiscount24.tiff;1;1;2480;3508;50089;477;257;93;43;477;257;570;257;570;300;477;300;euros;AAAAA;undefined;OTHER;OTHER
cdiscount24.tiff;1;1;2480;3508;50090;141;312;41;43;141;312;182;312;182;355;141;355;36;NN;SA;SUPPLIER_ADDRESS;Seller Address
cdiscount24.tiff;1;1;2480;3508;50091;193;312;154;43;193;312;347;312;347;355;193;355;AVENUE;AAAAAA;SA;SUPPLIER_ADDRESS;Seller Address
cdiscount24.tiff;1;1;2480;3508;50092;358;312;189;43;358;312;547;312;547;355;358;355;LONGUEIL;AAAAAAAA;SA;SUPPLIER_ADDRESS;Seller Address
cdiscount24.tiff;1;1;2480;3508;50093;141;368;104;43;141;368;245;368;245;411;141;411;78600;NNNNN;SA;SUPPLIER_ADDRESS;Seller Address
cdiscount24.tiff;1;1;2480;3508;50094;256;368;0;43;256;368;256;368;256;411;256;411;;;SA;SUPPLIER_ADDRESS;Seller Address
cdiscount24.tiff;1;1;2480;3508;50095;266;368;172;43;266;368;438;368;438;411;266;411;MAISONS;AAAAAAA;SA;SUPPLIER_ADDRESS;Seller Address
cdiscount24.tiff;1;1;2480;3508;50096;450;368;172;43;450;368;622;368;622;411;450;411;LAFFITTE;AAAAAAAA;SA;SUPPLIER_ADDRESS;Seller Address
cdiscount24.tiff;1;1;2480;3508;50097;141;424;121;43;141;424;262;424;262;467;141;467;N°RCS;ASAAA;undefined;OTHER;OTHER
cdiscount24.tiff;1;1;2480;3508;50098;273;424;187;43;273;424;460;424;460;467;273;467;986272968;NNNNNNNNN;SCID;SUPPLIER_ID;Seller Identifier Number (Siren)
cdiscount24.tiff;1;1;2480;3508;50099;460;424;0;43;460;424;460;424;460;467;460;467;;;SA;SUPPLIER_ADDRESS;Seller Address
cdiscount24.tiff;1;1;2480;3508;50100;471;424;172;43;471;424;643;424;643;467;471;467;MAISONS;AAAAAAA;SA;SUPPLIER_ADDRESS;Seller Address
cdiscount24.tiff;1;1;2480;3508;50101;654;424;172;43;654;424;826;424;826;467;654;467;LAFFITTE;AAAAAAAA;SA;SUPPLIER_ADDRESS;Seller Address
cdiscount24.tiff;1;1;2480;3508;50102;141;480;42;43;141;480;183;480;183;523;141;523;N°;AS;undefined;OTHER;OTHER
cdiscount24.tiff;1;1;2480;3508;50103;194;480;72;43;194;480;266;480;266;523;194;523;TVA;AAA;undefined;OTHER;OTHER
cdiscount24.tiff;1;1;2480;3508;50104;277;480;10;43;277;480;287;480;287;523;277;523;:;S;undefined;OTHER;OTHER
cdiscount24.tiff;1;1;2480;3508;50105;298;480;279;43;298;480;577;480;577;523;298;523;FR77986272968;AANNNNNNNNNNN;SVAT;SUPPLIER_VAT;Seller Vat Number/TVA
cdiscount24.tiff;1;1;2480;3508;50106;141;536;75;43;141;536;216;536;216;579;141;579;NAF;AAA;undefined;OTHER;OTHER
cdiscount24.tiff;1;1;2480;3508;50107;227;536;10;43;227;536;237;536;237;579;227;579;:;S;undefined;OTHER;OTHER
cdiscount24.tiff;1;1;2480;3508;50113;362;658;270;44;362;658;632;658;632;702;362;702;FACTURATION;AAAAAAAAAAA;undefined;OTHER;OTHER
cdiscount24.tiff;1;1;2480;3508;50114;1316;658;204;44;1316;658;1520;658;1520;702;1316;702;LIVRAISON;AAAAAAAAA;undefined;OTHER;OTHER
cdiscount24.tiff;1;1;2480;3508;50115;375;717;75;44;375;717;450;717;450;761;375;761;Prof;AAAA;BN;BILLING_NAME;Billing Name
cdiscount24.tiff;1;1;2480;3508;50116;460;717;131;44;460;717;591;717;591;761;460;761;Mathéo;AAAAAA;BN;BILLING_NAME;Billing Name
cdiscount24.tiff;1;1;2480;3508;50117;602;717;114;44;602;717;716;717;716;761;602;761;Picard;AAAAAA;BN;BILLING_NAME;Billing Name
cdiscount24.tiff;1;1;2480;3508;50124;1333;717;75;44;1333;717;1408;717;1408;761;1333;761;Prof;AAAA;SHN;SHIPPING_NAME;Shipping Name
cdiscount24.tiff;1;1;2480;3508;50125;1418;717;131;44;1418;717;1549;717;1549;761;1418;761;Mathéo;AAAAAA;SHN;SHIPPING_NAME;Shipping Name
cdiscount24.tiff;1;1;2480;3508;50126;1560;717;114;44;1560;717;1674;717;1674;761;1560;761;Picard;AAAAAA;SHN;SHIPPING_NAME;Shipping Name
cdiscount24.tiff;1;1;2480;3508;50118;375;782;52;43;375;782;427;782;427;825;375;825;24,;NNS;BA;BILLING_ADDRESS;Billing Address
