src;num_pages;page_id;page_width;page_height;id;col;row;width;height;x1;y1;x2;y2;x3;y3;x4;y4;contents;contents_masked;correctclass;tag;description
darty233.tiff;1;1;2480;3508;96027;445;162;183;43;445;162;628;162;628;205;445;205;CONCEPT;AAAAAAA;SN;SUPPLIER_NAME;Seller/Company) name
darty233.tiff;1;1;2480;3508;96028;639;162;183;43;639;162;822;162;822;205;639;205;MAGETEK;AAAAAAA;SN;SUPPLIER_NAME;Seller/Company) name
darty233.tiff;1;1;2480;3508;96029;833;162;185;43;833;162;1018;162;1018;205;833;205;CONFORT;AAAAAAA;SN;SUPPLIER_NAME;Seller/Company) name
darty233.tiff;1;1;2480;3508;96046;1375;208;95;43;1375;208;1470;208;1470;251;1375;251;JADA;AAAA;SHN;SHIPPING_NAME;Shipping Name
darty233.tiff;1;1;2480;3508;96047;1481;208;162;43;1481;208;1643;208;1643;251;1481;251;FRITSCH;AAAAAAA;SHN;SHIPPING_NAME;Shipping Name
darty233.tiff;1;1;2480;3508;96030;445;239;143;43;445;239;588;239;588;282;445;282;Services;AAAAAAAA;undefined;OTHER;OTHER
darty233.tiff;1;1;2480;3508;96031;600;239;208;43;600;239;808;239;808;282;600;282;Comptabilité;AAAAAAAAAAAA;undefined;OTHER;OTHER
darty233.tiff;1;1;2480;3508;96048;1375;252;72;43;1375;252;1447;252;1447;295;1375;295;221,;NNNS;SHA;SHIPPING_ADDRESS;Shipping Address
darty233.tiff;1;1;2480;3508;96049;1458;252;79;43;1458;252;1537;252;1537;295;1458;295;RUE;AAA;SHA;SHIPPING_ADDRESS;Shipping Address
darty233.tiff;1;1;2480;3508;96050;1547;252;54;43;1547;252;1601;252;1601;295;1547;295;DU;AA;SHA;SHIPPING_ADDRESS;Shipping Address
darty233.tiff;1;1;2480;3508;96051;1612;252;131;43;1612;252;1743;252;1743;295;1612;295;CARRÉ;AAAAA;SHA;SHIPPING_ADDRESS;Shipping Address
darty233.tiff;1;1;2480;3508;96052;1375;295;104;43;1375;295;1479;295;1479;338;1375;338;50200;NNNNN;SHA;SHIPPING_ADDRESS;Shipping Address
darty233.tiff;1;1;2480;3508;96053;1489;295;452;43;1489;295;1941;295;1941;338;1489;338;TOURVILLE-SUR-SIENNE;AAAAAAAAASAAASAAAAAA;SHA;SHIPPING_ADDRESS;Shipping Address
darty233.tiff;1;1;2480;3508;96032;445;316;72;43;445;316;517;316;517;359;445;359;TSA;AAA;undefined;OTHER;OTHER
darty233.tiff;1;1;2480;3508;96033;529;316;77;43;529;316;606;316;606;359;529;359;n°80;ASNN;undefined;OTHER;OTHER
darty233.tiff;1;1;2480;3508;96034;617;316;62;43;617;316;679;316;679;359;617;359;004;NNN;undefined;OTHER;OTHER
darty233.tiff;1;1;2480;3508;96054;1375;338;154;43;1375;338;1529;338;1529;381;1375;381;FRANCE;AAAAAA;SHA;SHIPPING_ADDRESS;Shipping Address
darty233.tiff;1;1;2480;3508;96035;445;393;104;43;445;393;549;393;549;436;445;436;06200;NNNNN;SA;SUPPLIER_ADDRESS;Seller Address
darty233.tiff;1;1;2480;3508;96036;560;393;12;43;560;393;572;393;572;436;560;436;-;S;SA;SUPPLIER_ADDRESS;Seller Address
darty233.tiff;1;1;2480;3508;96037;583;393;89;43;583;393;672;393;672;436;583;436;NICE;AAAA;SA;SUPPLIER_ADDRESS;Seller Address
darty233.tiff;1;1;2480;3508;96038;445;469;108;43;445;469;553;469;553;512;445;512;Phone;AAAAA;SCN;SUPPLIER_CONTACT_NUMBER;Seller Contact Number
darty233.tiff;1;1;2480;3508;96039;564;469;10;43;564;469;574;469;574;512;564;512;:;S;SCN;SUPPLIER_CONTACT_NUMBER;Seller Contact Number
darty233.tiff;1;1;2480;3508;96040;585;469;0;43;585;469;585;469;585;512;585;512;;;SCN;SUPPLIER_CONTACT_NUMBER;Seller Contact Number
darty233.tiff;1;1;2480;3508;96041;595;469;250;43;595;469;845;469;845;512;595;512;04.31.84.27.93;NNSNNSNNSNNSNN;SCN;SUPPLIER_CONTACT_NUMBER;Seller Contact Number
darty233.tiff;1;1;2480;3508;96055;1375;498;95;43;1375;498;1470;498;1470;541;1375;541;JADA;AAAA;BN;BILLING_NAME;Billing Name
darty233.tiff;1;1;2480;3508;96056;1481;498;162;43;1481;498;1643;498;1643;541;1481;541;FRITSCH;AAAAAAA;BN;BILLING_NAME;Billing Name
darty233.tiff;1;1;2480;3508;96057;1375;542;72;43;1375;542;1447;542;1447;585;1375;585;221,;NNNS;BA;BILLING_ADDRESS;Billing Address
darty233.tiff;1;1;2480;3508;96058;1458;542;79;43;1458;542;1537;542;1537;585;1458;585;RUE;AAA;BA;BILLING_ADDRESS;Billing Address
darty233.tiff;1;1;2480;3508;96059;1547;542;54;43;1547;542;1601;542;1601;585;1547;585;DU;AA;BA;BILLING_ADDRESS;Billing Address
darty233.tiff;1;1;2480;3508;96060;1612;542;131;43;1612;542;1743;542;1743;585;1612;585;CARRÉ;AAAAA;BA;BILLING_ADDRESS;Billing Address
darty233.tiff;1;1;2480;3508;96042;445;546;62;43;445;546;507;546;507;589;445;589;Fax;AAA;SFAX;SUPPLIER_FAX_NUMBER;Seller Fax Number
darty233.tiff;1;1;2480;3508;96043;518;546;10;43;518;546;528;546;528;589;518;589;:;S;SFAX;SUPPLIER_FAX_NUMBER;Seller Fax Number
darty233.tiff;1;1;2480;3508;96044;539;546;0;43;539;546;539;546;539;589;539;589;;;SFAX;SUPPLIER_FAX_NUMBER;Seller Fax Number
darty233.tiff;1;1;2480;3508;96045;550;546;250;43;550;546;800;546;800;589;550;589;04.31.84.43.33;NNSNNSNNSNNSNN;SFAX;SUPPLIER_FAX_NUMBER;Seller Fax Number
darty233.tiff;1;1;2480;3508;96061;1375;585;104;43;1375;585;1479;585;1479;628;1375;628;50200;NNNNN;BA;BILLING_ADDRESS;Billing Address
