src;num_pages;page_id;page_width;page_height;id;col;row;width;height;x1;y1;x2;y2;x3;y3;x4;y4;contents;contents_masked;correctclass;tag;description
ldlc114.tiff;1;1;2480;3508;34262;1757;4;172;43;1757;4;1929;4;1929;47;1757;47;Référence;AAAAAAAAA;undefined;OTHER;OTHER
ldlc114.tiff;1;1;2480;3508;34263;1941;4;20;43;1941;4;1961;4;1961;47;1941;47;à;A;undefined;OTHER;OTHER
ldlc114.tiff;1;1;2480;3508;34264;1972;4;137;43;1972;4;2109;4;2109;47;1972;47;rappeler;AAAAAAAA;undefined;OTHER;OTHER
ldlc114.tiff;1;1;2480;3508;34265;2120;4;60;43;2120;4;2180;4;2180;47;2120;47;lors;AAAA;undefined;OTHER;OTHER
ldlc114.tiff;1;1;2480;3508;34266;2191;4;41;43;2191;4;2232;4;2232;47;2191;47;du;AA;undefined;OTHER;OTHER
ldlc114.tiff;1;1;2480;3508;34267;2243;4;166;43;2243;4;2409;4;2409;47;2243;47;réglement;AAAAAAAAA;undefined;OTHER;OTHER
ldlc114.tiff;1;1;2480;3508;34268;1757;46;95;43;1757;46;1852;46;1852;89;1757;89;Client;AAAAAA;undefined;OTHER;OTHER
ldlc114.tiff;1;1;2480;3508;34269;1863;46;35;43;1863;46;1898;46;1898;89;1863;89;n°;AS;undefined;OTHER;OTHER
ldlc114.tiff;1;1;2480;3508;34276;2153;46;195;44;2153;46;2348;46;2348;90;2153;90;CL1070000;AANNNNNNN;CNUM;CLIENT_NUMBER;Client Number
ldlc114.tiff;1;1;2480;3508;34270;1757;89;127;43;1757;89;1884;89;1884;132;1757;132;Facture;AAAAAAA;undefined;OTHER;OTHER
ldlc114.tiff;1;1;2480;3508;34271;1895;89;35;43;1895;89;1930;89;1930;132;1895;132;n°;AS;undefined;OTHER;OTHER
ldlc114.tiff;1;1;2480;3508;34277;2153;90;256;44;2153;90;2409;90;2409;134;2153;134;FV2012000832;AANNNNNNNNNN;IN;INVOICE_NUMBER;Invoice Number
ldlc114.tiff;1;1;2480;3508;34272;1757;132;79;43;1757;132;1836;132;1836;175;1757;175;Date;AAAA;undefined;OTHER;OTHER
ldlc114.tiff;1;1;2480;3508;34273;1847;132;41;43;1847;132;1888;132;1888;175;1847;175;de;AA;undefined;OTHER;OTHER
ldlc114.tiff;1;1;2480;3508;34274;1899;132;29;43;1899;132;1928;132;1928;175;1899;175;la;AA;undefined;OTHER;OTHER
ldlc114.tiff;1;1;2480;3508;34275;1939;132;114;43;1939;132;2053;132;2053;175;1939;175;facture;AAAAAAA;undefined;OTHER;OTHER
ldlc114.tiff;1;1;2480;3508;34278;2153;135;145;44;2153;135;2298;135;2298;179;2153;179;06/07/97;NNSNNSNN;IDATE;INVOICE_DATE;Invoice Date
ldlc114.tiff;1;1;2480;3508;34279;1615;246;127;43;1615;246;1742;246;1742;289;1615;289;Facture;AAAAAAA;undefined;OTHER;OTHER
ldlc114.tiff;1;1;2480;3508;34280;1752;246;35;43;1752;246;1787;246;1787;289;1752;289;n°;AS;undefined;OTHER;OTHER
ldlc114.tiff;1;1;2480;3508;34301;1973;246;256;44;1973;246;2229;246;2229;290;1973;290;FV2012000832;AANNNNNNNNNN;IN;INVOICE_NUMBER;Invoice Number
ldlc114.tiff;1;1;2480;3508;34281;1615;310;79;43;1615;310;1694;310;1694;353;1615;353;Date;AAAA;undefined;OTHER;OTHER
ldlc114.tiff;1;1;2480;3508;34282;1704;310;41;43;1704;310;1745;310;1745;353;1704;353;de;AA;undefined;OTHER;OTHER
ldlc114.tiff;1;1;2480;3508;34283;1756;310;29;43;1756;310;1785;310;1785;353;1756;353;la;AA;undefined;OTHER;OTHER
ldlc114.tiff;1;1;2480;3508;34284;1796;310;114;43;1796;310;1910;310;1910;353;1796;353;facture;AAAAAAA;undefined;OTHER;OTHER
ldlc114.tiff;1;1;2480;3508;34302;1973;311;145;44;1973;311;2118;311;2118;355;1973;355;06/07/97;NNSNNSNN;IDATE;INVOICE_DATE;Invoice Date
ldlc114.tiff;1;1;2480;3508;34187;83;354;68;28;83;354;151;354;151;382;83;382;CTRE;AAAA;SA;SUPPLIER_ADDRESS;Seller Address
ldlc114.tiff;1;1;2480;3508;34188;158;354;131;28;158;354;289;354;289;382;158;382;COMMERC;AAAAAAA;SA;SUPPLIER_ADDRESS;Seller Address
ldlc114.tiff;1;1;2480;3508;34189;297;354;13;28;297;354;310;354;310;382;297;382;3;N;SA;SUPPLIER_ADDRESS;Seller Address
ldlc114.tiff;1;1;2480;3508;34190;318;354;143;28;318;354;461;354;461;382;318;382;FONTAINES;AAAAAAAAA;SA;SUPPLIER_ADDRESS;Seller Address
ldlc114.tiff;1;1;2480;3508;34191;468;354;6;28;468;354;474;354;474;382;468;382;,;S;undefined;OTHER;OTHER
ldlc114.tiff;1;1;2480;3508;34192;481;354;69;28;481;354;550;354;550;382;481;382;95000;NNNNN;SA;SUPPLIER_ADDRESS;Seller Address
ldlc114.tiff;1;1;2480;3508;34193;558;354;8;28;558;354;566;354;566;382;558;382;-;S;SA;SUPPLIER_ADDRESS;Seller Address
ldlc114.tiff;1;1;2480;3508;34194;573;354;88;28;573;354;661;354;661;382;573;382;CERGY;AAAAA;SA;SUPPLIER_ADDRESS;Seller Address
ldlc114.tiff;1;1;2480;3508;34285;1615;374;95;43;1615;374;1710;374;1710;417;1615;417;Client;AAAAAA;undefined;OTHER;OTHER
