src;num_pages;page_id;page_width;page_height;id;col;row;width;height;x1;y1;x2;y2;x3;y3;x4;y4;contents;contents_masked;correctclass;tag;description
invoice-2427.tiff;1;1;2480;3508;298738;124;62;498;175;124;62;622;62;622;237;124;237;common/logo;AAAAAASAAAA;img;IMAGE;Image
invoice-2427.tiff;1;1;2480;3508;298739;124;412;55;48;124;412;179;412;179;460;124;460;LE;AA;SN;SUPPLIER_NAME;Seller/Company) name
invoice-2427.tiff;1;1;2480;3508;298740;191;412;115;48;191;412;306;412;306;460;191;460;CUBE;AAAA;SN;SUPPLIER_NAME;Seller/Company) name
invoice-2427.tiff;1;1;2480;3508;298741;317;412;217;48;317;412;534;412;534;460;317;460;COIFFURE;AAAAAAAA;SN;SUPPLIER_NAME;Seller/Company) name
invoice-2427.tiff;1;1;2480;3508;298742;124;460;62;45;124;460;186;460;186;505;124;505;539;NNN;SA;SUPPLIER_ADDRESS;Seller Address
invoice-2427.tiff;1;1;2480;3508;298743;197;460;159;45;197;460;356;460;356;505;197;505;AVENUE;AAAAAA;SA;SUPPLIER_ADDRESS;Seller Address
invoice-2427.tiff;1;1;2480;3508;298744;368;460;97;45;368;460;465;460;465;505;368;505;JEAN;AAAA;SA;SUPPLIER_ADDRESS;Seller Address
invoice-2427.tiff;1;1;2480;3508;298745;475;460;162;45;475;460;637;460;637;505;475;505;PROUVE;AAAAAA;SA;SUPPLIER_ADDRESS;Seller Address
invoice-2427.tiff;1;1;2480;3508;298746;646;460;13;45;646;460;659;460;659;505;646;505;-;S;SA;SUPPLIER_ADDRESS;Seller Address
invoice-2427.tiff;1;1;2480;3508;298747;670;460;104;45;670;460;774;460;774;505;670;505;30900;NNNNN;SA;SUPPLIER_ADDRESS;Seller Address
invoice-2427.tiff;1;1;2480;3508;298748;793;460;122;45;793;460;915;460;915;505;793;505;NIMES;AAAAA;SA;SUPPLIER_ADDRESS;Seller Address
invoice-2427.tiff;1;1;2480;3508;298749;924;460;13;45;924;460;937;460;937;505;924;505;-;S;SA;SUPPLIER_ADDRESS;Seller Address
invoice-2427.tiff;1;1;2480;3508;298750;948;460;157;45;948;460;1105;460;1105;505;948;505;FRANCE;AAAAAA;SA;SUPPLIER_ADDRESS;Seller Address
invoice-2427.tiff;1;1;2480;3508;298751;124;506;67;45;124;506;191;506;191;551;124;551;Tel:;AAAS;undefined;OTHER;OTHER
invoice-2427.tiff;1;1;2480;3508;298752;217;506;249;45;217;506;466;506;466;551;217;551;09.30.68.82.44;NNSNNSNNSNNSNN;SCN;SUPPLIER_CONTACT_NUMBER;Seller Contact Number
invoice-2427.tiff;1;1;2480;3508;298753;508;506;78;45;508;506;586;506;586;551;508;551;Fax:;AAAS;undefined;OTHER;OTHER
invoice-2427.tiff;1;1;2480;3508;298754;612;506;249;45;612;506;861;506;861;551;612;551;09.30.68.77.42;NNSNNSNNSNNSNN;SFAX;SUPPLIER_FAX_NUMBER;Seller Fax Number
invoice-2427.tiff;1;1;2480;3508;298755;124;936;106;48;124;936;230;936;230;984;124;984;Boyer;AAAAA;BN;BILLING_NAME;Billing Name
